年份,甲,名,姓名,省,府,州县,坐标,longitude,latitude
1814,3,106,黄辅清,广西,浔州府,贵县,"109.572260,23.111454",109.57226,23.111454
1817,2,17,周宏绪,广西,桂林府,临桂县,"110.290771,25.274084",110.290771,25.274084
1817,2,22,周贻徽,广西,桂林府,临桂县,"110.290781,25.274094",110.290781,25.274094
1817,3,26,李佩莲,广西,平乐府,荔浦县,"110.395243,24.487753",110.395243,24.487753
1817,3,65,李光瀛,广西,桂林府,临桂县,"110.290791,25.274104",110.290791,25.274104
1817,3,80,吴鼎元,广西,柳州府,雒容县,"109.605526,24.402731",109.605526,24.402731
1817,3,114,张梦骥,广西,浔州府,武宣县,"109.663256,23.594031",109.663256,23.594031
1817,3,134,梁弼,广西,浔州府,平南县,"110.392169,23.539157",110.392169,23.539157
1819,2,30,李绍昉,广西,郁林州,北流县,"110.354380,22.708276",110.35438,22.708276
1819,3,19,廖重机,广西,桂林府,临桂县,"110.290801,25.274114",110.290801,25.274114
1819,3,28,吴绳显,广西,思恩府,迁江县,"108.964381,23.613008",108.964381,23.613008
1819,3,74,唐琳枝,广西,桂林府,临桂县,"110.290811,25.274124",110.290811,25.274124
1820,1,1,陈继昌,广西,桂林府,临桂县,"110.290821,25.274134",110.290821,25.274134
1820,2,76,冯赞勋,广西,南宁府,宣化县,"108.365691,22.817701",108.365691,22.817701
1820,3,47,黄金声,广西,思恩府,上林县,"108.604931,23.431946",108.604931,23.431946
1820,3,47,黄金声,广西,思恩府,上林县,"107.338710,23.485010",107.33871,23.48501
1820,3,57,章天宝,广西,思恩府,武缘县,"108.274790,23.158568",108.27479,23.158568
1820,3,77,李嵀,广西,平乐府,荔浦县,"110.395253,24.487763",110.395253,24.487763
1820,3,84,闭法易,广西,南宁府,横州,"109.261389,22.680073",109.261389,22.680073
1820,3,102,梁宗敏,广西,郁林州,北流县,"110.354390,22.708286",110.35439,22.708286
1822,2,76,马步銮,广西,桂林府,全州,"111.073178,25.928957",111.073178,25.928957
1822,2,91,况澄,广西,桂林府,临桂县,"110.290831,25.274144",110.290831,25.274144
1822,2,93,蒋启扬,广西,桂林府,全州,"111.073188,25.928967",111.073188,25.928967
1822,3,67,秦锡九,广西,桂林府,灵川县,"110.390119,25.466191",110.390119,25.466191
1822,3,105,顾椿,广西,桂林府,临桂县,"110.290841,25.274154",110.290841,25.274154
1823,2,34,郑绍谦,广西,桂林府,临桂县,"110.290851,25.274164",110.290851,25.274164
1823,2,89,李敏贤,广西,郁林州,北流县,"110.354400,22.708296",110.3544,22.708296
1823,3,55,梁葆庆,广西,太平府,崇善县,"107.353328,22.405301",107.353328,22.405301
1823,3,67,蒋方正,广西,桂林府,兴安县,"110.671671,25.611599",110.671671,25.611599
1823,3,113,李百龄,广西,梧州府,苍梧县,"111.320565,23.473129",111.320565,23.473129
1826,2,34,周启运,广西,桂林府,灵川县,"110.390129,25.466201",110.390129,25.466201
1826,2,59,朱一琼,广西,桂林府,临桂县,"110.290861,25.274174",110.290861,25.274174
1826,3,36,邓锡畴,广西,桂林府,临桂县,"110.290871,25.274184",110.290871,25.274184
1826,3,49,龙田光,广西,浔州府,平南县,"110.392179,23.539167",110.392179,23.539167
1826,3,148,周因培,广西,桂林府,临桂县,"110.290881,25.274194",110.290881,25.274194
1826,3,149,谢树琼,广西,桂林府,临桂县,"110.290891,25.274204",110.290891,25.274204
1829,2,21,胡元博,广西,桂林府,临桂县,"110.290901,25.274214",110.290901,25.274214
1829,2,56,栗穗,广西,桂林府,临桂县,"110.290911,25.274224",110.290911,25.274224
1829,3,13,李锡珖,广西,南宁府,横州,"109.261399,22.680083",109.261399,22.680083
1829,3,35,唐增麻,广西,桂林府,兴安县,"110.671681,25.611609",110.671681,25.611609
1829,3,47,林先梁,广西,郁林州,北流县,"110.354410,22.708306",110.35441,22.708306
1829,3,104,况澍,广西,桂林府,临桂县,"110.290921,25.274234",110.290921,25.274234
1832,2,8,朱楷,广西,桂林府,临桂县,"110.290931,25.274244",110.290931,25.274244
1832,2,53,黄大阜,广西,太平府,永康州,"107.803720,22.809220",107.80372,22.80922
1832,3,20,李锦业,广西,南宁府,宣化县,"108.365701,22.817711",108.365701,22.817711
1832,3,22,李燕昌,广西,郁林州,北流县,"110.354420,22.708316",110.35442,22.708316
1832,3,47,朱庭芬,广西,桂林府,临桂县,"110.290941,25.274254",110.290941,25.274254
1832,3,61,梁卓英,广西,平乐府,平乐县,"110.643405,24.633462",110.643405,24.633462
1833,2,76,黄炳光,广西,梧州府,苍梧县,"111.320575,23.473139",111.320575,23.473139
1833,2,88,蒋钟骐,广西,桂林府,全州,"111.073198,25.928977",111.073198,25.928977
1833,2,100,曾克敬,广西,平乐府,平乐县,"110.643415,24.633472",110.643415,24.633472
1833,3,78,蒋瑾,广西,桂林府,临桂县,"110.290951,25.274264",110.290951,25.274264
1835,2,12,余春照,广西,柳州府,融县,"109.256280,25.065983",109.25628,25.065983
1835,2,20,郑存纻,广西,柳州府,象州,"109.683918,23.958544",109.683918,23.958544
1835,2,60,朱琦,广西,桂林府,临桂县,"110.290961,25.274274",110.290961,25.274274
1835,2,66,李登瀛,广西,南宁府,永淳县,"108.924484,22.797995",108.924484,22.797995
1835,3,28,周贻缨,广西,桂林府,临桂县,"110.290971,25.274284",110.290971,25.274284
1835,3,39,胡超龙,广西,柳州府,马平县,"109.410785,24.315458",109.410785,24.315458
1835,3,107,左干春,广西,桂林府,临桂县,"110.290981,25.274294",110.290981,25.274294
